inject_id,dimension,title,evidence_sources,participant_status
INJ-074,D11,Role conflict,stakeholders.csv; decision_rights.csv,UNASSESSED
INJ-075,D12,Model price shock,model_costs.csv; vendor_contracts.csv,UNASSESSED
INJ-076,D12,Denial-of-wallet pattern,model_usage.csv; security_events.csv,UNASSESSED
INJ-077,D12,Hidden human-review cost,cost_model.csv; staff_rates.csv,UNASSESSED
INJ-078,D12,Vendor concentration,vendor_dependencies.csv,UNASSESSED
INJ-079,D13,Regional platform outage,downtime_events.csv; model_endpoints.csv,UNASSESSED
INJ-080,D13,Checkpoint corruption,agent_runs.csv,UNASSESSED
INJ-081,D13,Model substitution regression,model_performance.csv; model_endpoints.csv,UNASSESSED
INJ-082,D13,AI-disabled continuity,continuity_requirements.csv,UNASSESSED
INJ-083,D13,Vendor exit deadline,vendor_contracts.csv; vendor_exit_assets.csv,UNASSESSED
INJ-084,D13,Retirement and evidence preservation,retention_rules.csv; retirement_assets.csv,UNASSESSED
