dataset,column,inferred_type,description,nullable_observed,example
controlled_vocabularies.csv,term,string,Synthetic source field; interpret in dataset and case context,no,concentrate for solution for infusion
controlled_vocabularies.csv,version,string,Source version,no,2026-1
cost_model.csv,cost_type,string,Synthetic source field; interpret in dataset and case context,no,inference
cost_model.csv,monthly_usd,integer,Synthetic source field; interpret in dataset and case context,no,184000
data_exports.csv,export_id,string,Identifier,no,EX-77
data_exports.csv,dataset,string,Synthetic source field; interpret in dataset and case context,no,NCB204 trial biomarker
data_exports.csv,from_region,string,Region context,no,EU
data_exports.csv,to_region,string,Region context,no,US
data_exports.csv,purpose,string,Synthetic source field; interpret in dataset and case context,no,global model training
data_exports.csv,approved,boolean_like,Approval state,no,no
data_licenses.csv,dataset,string,Synthetic source field; interpret in dataset and case context,no,LIC-OMX-4
data_licenses.csv,permitted_use,string,Synthetic source field; interpret in dataset and case context,no,research only
data_licenses.csv,commercial_use,string,Synthetic source field; interpret in dataset and case context,no,no
data_licenses.csv,model_training,string,Synthetic source field; interpret in dataset and case context,no,restricted
data_residency.csv,data_class,string,Synthetic source field; interpret in dataset and case context,no,EU trial personal data
data_residency.csv,approved_regions,string,Region context,no,EU
data_residency.csv,observed_region,string,Region context,no,SG
data_residency.csv,source,string,Originating source,no,backup_replica
decision_rights.csv,decision,string,Synthetic source field; interpret in dataset and case context,no,batch certification
decision_rights.csv,accountable_role,string,Role or accountable function,no,EU Qualified Person
decision_rights.csv,ai_authority,string,Document or decision authority,no,none
deletion_requests.csv,request_id,string,Identifier,no,DSR-17
deletion_requests.csv,subject_id,string,Identifier,no,S-301-044
deletion_requests.csv,scope,string,Synthetic source field; interpret in dataset and case context,no,all biomarker and AI data
deletion_requests.csv,status,string,Source-record lifecycle or business status,no,open
demand_forecast.csv,channel,string,Synthetic source field; interpret in dataset and case context,no,commercial_EU
demand_forecast.csv,product,string,Product identifier or alias,no,NCB-204
demand_forecast.csv,units_8w,integer,Reported unit; do not silently convert,no,5200
deviations.csv,deviation_id,string,Identifier,no,DEV-201
deviations.csv,taxonomy,string,Synthetic source field; interpret in dataset and case context,no,mixing_time
deviations.csv,status,string,Source-record lifecycle or business status,no,closed
deviations.csv,capa,string,Synthetic source field; interpret in dataset and case context,yes,CAPA-31
deviations.csv,similarity_to,string,Synthetic source field; interpret in dataset and case context,yes,DEV-201
document_catalog.csv,document_id,string,Identifier,no,DOC-ECTD-1
document_catalog.csv,document,string,Synthetic source field; interpret in dataset and case context,no,m3-2-s-4-1-analytical.pdf
document_catalog.csv,local_path,string,Synthetic source field; interpret in dataset and case context,yes,source_documents/CCDS_NCB204_v4.md
document_catalog.csv,authority,string,Document or decision authority,no,Regulatory submission archive
document_catalog.csv,effective_date,date_or_datetime,Source-record date,no,unknown
document_catalog.csv,status,string,Source-record lifecycle or business status,no,referenced_missing
document_catalog.csv,availability,string,Synthetic source field; interpret in dataset and case context,no,intentionally_absent
document_catalog.csv,notes,string,Synthetic source field; interpret in dataset and case context,no,Sequence references a file not present; investigate without fabrication.
document_lineage.csv,record,string,Synthetic source field; interpret in dataset and case context,no,COA-RG78
document_lineage.csv,derived_from,string,Synthetic source field; interpret in dataset and case context,no,vendor_pdf_missing
document_lineage.csv,transcribed_by,string,Synthetic source field; interpret in dataset and case context,no,AN-12
document_lineage.csv,verified_by,string,Synthetic source field; interpret in dataset and case context,no,AN-13
downtime_events.csv,event_id,string,Identifier,no,DT-1
downtime_events.csv,systems,string,Synthetic source field; interpret in dataset and case context,no,"MES,QMS,historian"
downtime_events.csv,cause,string,Synthetic source field; interpret in dataset and case context,no,ransomware containment
downtime_events.csv,start,date_or_datetime,Synthetic source field; interpret in dataset and case context,no,2026-07-22T16:00:00Z
downtime_events.csv,end,string,Synthetic source field; interpret in dataset and case context,no,2026-07-23T08:00:00Z
duplicate_candidates.csv,case_a,string,Synthetic source field; interpret in dataset and case context,no,PV-1001
duplicate_candidates.csv,case_b,string,Synthetic source field; interpret in dataset and case context,no,PV-1014
duplicate_candidates.csv,similarity,number,Synthetic source field; interpret in dataset and case context,no,0.93
duplicate_candidates.csv,reason,string,Synthetic source field; interpret in dataset and case context,no,patient/product/date overlap
ebr_steps.csv,batch_id,string,Identifier,no,NCS310-S26033
ebr_steps.csv,step,string,Synthetic source field; interpret in dataset and case context,no,filter_integrity
ebr_steps.csv,performed_time,date_or_datetime,Source event time,no,2026-07-22T17:45:00+05:30
ebr_steps.csv,entered_time,date_or_datetime,Source event time,no,2026-07-23T09:05:00+05:30
ebr_steps.csv,entry_mode,string,Synthetic source field; interpret in dataset and case context,no,back_entry
ectd_sequences.csv,sequence,string,Synthetic source field; interpret in dataset and case context,no,EU-0042
ectd_sequences.csv,product,string,Product identifier or alias,no,NCB-204
ectd_sequences.csv,index_document,string,Synthetic source field; interpret in dataset and case context,no,m3-2-s-4-1-analytical.pdf
ectd_sequences.csv,archive_present,boolean_like,Synthetic source field; interpret in dataset and case context,no,no
eligibility_evidence.csv,subject_id,string,Identifier,no,S-301-044
eligibility_evidence.csv,test,string,Synthetic source field; interpret in dataset and case context,no,ALT
eligibility_evidence.csv,value,integer,Source-reported value,no,58
eligibility_evidence.csv,unit,string,Reported unit; do not silently convert,no,U/L
eligibility_evidence.csv,central_uln,integer,Synthetic source field; interpret in dataset and case context,no,40
eligibility_evidence.csv,local_uln,integer,Synthetic source field; interpret in dataset and case context,no,60
eligibility_evidence.csv,edc_rule_uln,integer,Synthetic source field; interpret in dataset and case context,no,40
endpoint_packets.csv,packet_id,string,Identifier,no,EP-71
endpoint_packets.csv,subject_id,string,Identifier,no,S-301-118
endpoint_packets.csv,endpoint,string,Synthetic source field; interpret in dataset and case context,no,MRI response
endpoint_packets.csv,source_complete,boolean_like,Originating source,no,no
endpoint_packets.csv,review_status,string,Source-record lifecycle or business status,no,conflict
environmental_monitoring.csv,sample_id,string,Identifier,no,EM-501
environmental_monitoring.csv,batch_id,string,Identifier,no,NCS310-S26033
environmental_monitoring.csv,location,string,Synthetic source field; interpret in dataset and case context,no,FF-GradeB-07
environmental_monitoring.csv,cfu,integer,Synthetic source field; interpret in dataset and case context,no,4
environmental_monitoring.csv,alert_limit,integer,Synthetic source field; interpret in dataset and case context,no,3
environmental_monitoring.csv,time,date_or_datetime,Source event time,no,2026-07-22T18:10:00+05:30
evaluation_cohorts.csv,cohort,string,Synthetic source field; interpret in dataset and case context,no,PV_EN
evaluation_cohorts.csv,language,string,Synthetic source field; interpret in dataset and case context,yes,English
evaluation_cohorts.csv,n,integer,Synthetic source field; interpret in dataset and case context,no,500
evaluation_cohorts.csv,product_type,string,Product identifier or alias,yes,sterile
exposure_estimates.csv,product,string,Product identifier or alias,no,NCB-204
exposure_estimates.csv,market,string,Synthetic source field; interpret in dataset and case context,no,DE
exposure_estimates.csv,source,string,Originating source,no,sales
exposure_estimates.csv,patients,integer,Synthetic source field; interpret in dataset and case context,no,8400
genomic_data.csv,participant,string,Synthetic source field; interpret in dataset and case context,no,G-001
genomic_data.csv,disease,string,Synthetic source field; interpret in dataset and case context,no,ultra_rare_X
genomic_data.csv,variant,string,Synthetic source field; interpret in dataset and case context,no,chr7:rare
genomic_data.csv,country,string,Country context,no,DE
genomic_data.csv,age,integer,Synthetic source field; interpret in dataset and case context,no,17
genomic_data.csv,postal_prefix,integer,Synthetic source field; interpret in dataset and case context,no,101
icsr_cases.csv,case_id,string,Identifier,no,PV-1001
icsr_cases.csv,source,string,Originating source,no,patient_program
icsr_cases.csv,product,string,Product identifier or alias,no,NCB-204
icsr_cases.csv,event,string,Synthetic source field; interpret in dataset and case context,no,anaphylaxis
icsr_cases.csv,country,string,Country context,no,DE
icsr_cases.csv,awareness_date,date_or_datetime,Source-record date,no,2026-07-20
icsr_cases.csv,language,string,Synthetic source field; interpret in dataset and case context,no,German
icsr_cases.csv,patient_key,string,Synthetic source field; interpret in dataset and case context,no,P-7X
idmp_mappings.csv,local_product,string,Product identifier or alias,no,NCB204-DE
idmp_mappings.csv,idmp_product,string,Identifier,no,NCB-204
idmp_mappings.csv,mapping_status,string,Source-record lifecycle or business status,no,ambiguous_strength_presentation
image_forensics.csv,study_id,string,Identifier,no,PC-88
image_forensics.csv,panel,string,Synthetic source field; interpret in dataset and case context,no,Figure_6B
image_forensics.csv,similarity_to,string,Synthetic source field; interpret in dataset and case context,no,Figure_4A
image_forensics.csv,similarity_score,number,Synthetic source field; interpret in dataset and case context,no,0.97
image_forensics.csv,metadata_note,string,Synthetic source field; interpret in dataset and case context,no,same acquisition timestamp
imaging_reviews.csv,packet_id,string,Identifier,no,EP-71
imaging_reviews.csv,reviewer,string,Synthetic source field; interpret in dataset and case context,no,R1
imaging_reviews.csv,conclusion,string,Synthetic source field; interpret in dataset and case context,no,responder
inject_evidence_map.csv,inject_id,string,Identifier,no,INJ-001
inject_evidence_map.csv,dimension,string,Synthetic source field; interpret in dataset and case context,no,D01
inject_evidence_map.csv,title,string,Synthetic source field; interpret in dataset and case context,no,Board compression target
inject_evidence_map.csv,evidence_sources,string,Identifier,no,board_requests.csv; portfolio_products.csv
inject_evidence_map.csv,participant_status,string,Source-record lifecycle or business status,no,UNASSESSED
inspection_requests.csv,request_id,string,Identifier,no,IR-72H
inspection_requests.csv,agency,string,Synthetic source field; interpret in dataset and case context,no,joint fictional inspection
inspection_requests.csv,scope,string,Synthetic source field; interpret in dataset and case context,no,"trial,batch,safety,AI controls"
inspection_requests.csv,deadline_hours,integer,Synthetic source field; interpret in dataset and case context,no,72
instruments.csv,instrument_id,string,Identifier,no,INS-03
instruments.csv,type,string,Synthetic source field; interpret in dataset and case context,no,plate_reader
instruments.csv,firmware,string,Synthetic source field; interpret in dataset and case context,no,4.8.1
instruments.csv,qualified_firmware,string,Synthetic source field; interpret in dataset and case context,no,4.7.9
instruments.csv,qualification_status,string,Source-record lifecycle or business status,no,conditional
interface_events.csv,interface,string,Synthetic source field; interpret in dataset and case context,no,MES-QMS
interface_events.csv,event,string,Synthetic source field; interpret in dataset and case context,no,timeout
interface_events.csv,retry_count,integer,Synthetic source field; interpret in dataset and case context,no,7
interface_events.csv,idempotency_key,string,Identifier,no,missing
interface_mappings.csv,interface,string,Synthetic source field; interpret in dataset and case context,no,CRO_LAB_TO_LIMS
interface_mappings.csv,source_unit,string,Originating source,no,mg/L
interface_mappings.csv,target_unit,string,Reported unit; do not silently convert,no,ug/mL
interface_mappings.csv,conversion_rule,string,Source version,no,1:1_assumed
interface_mappings.csv,approved,boolean_like,Approval state,no,no
inventory.csv,product,string,Product identifier or alias,no,NCB-204
inventory.csv,market,string,Synthetic source field; interpret in dataset and case context,no,EU
inventory.csv,quality_status,string,Source-record lifecycle or business status,no,released
inventory.csv,units,integer,Reported unit; do not silently convert,no,4300
knowledge_catalog.csv,doc_id,string,Identifier,no,K-001
knowledge_catalog.csv,file,string,Synthetic source field; interpret in dataset and case context,no,AGENT_BUDGET_AND_STOP_POLICY.md
knowledge_catalog.csv,authority,string,Document or decision authority,no,NovaCura Global Policy
knowledge_catalog.csv,effective,date_or_datetime,Synthetic source field; interpret in dataset and case context,no,2026-06-12
knowledge_catalog.csv,status,string,Source-record lifecycle or business status,no,approved
knowledge_catalog.csv,trust,string,Synthetic source field; interpret in dataset and case context,no,approved
knowledge_catalog.csv,jurisdiction,string,Synthetic source field; interpret in dataset and case context,no,Global
knowledge_catalog.csv,supersedes,string,Synthetic source field; interpret in dataset and case context,yes,BATCH_RELEASE_POLICY_OLD.md
knowledge_catalog.csv,sha256,string,Synthetic source field; interpret in dataset and case context,no,c150c21b73eefa3551857103058c21c3eb7a809f099d12b251e6ac62548db9f7
kpi_conflicts.csv,function,string,Synthetic source field; interpret in dataset and case context,no,Manufacturing
kpi_conflicts.csv,kpi,string,Synthetic source field; interpret in dataset and case context,no,schedule_adherence
kpi_conflicts.csv,target,string,Synthetic source field; interpret in dataset and case context,no,98%
lab_results.csv,result_id,string,Identifier,no,LR-88
lab_results.csv,batch_id,string,Identifier,no,NCB204-B24071
lab_results.csv,test,string,Synthetic source field; interpret in dataset and case context,no,potency
lab_results.csv,value,number,Source-reported value,no,0.92
lab_results.csv,unit,string,Reported unit; do not silently convert,no,mg/L
lab_results.csv,spec,string,Synthetic source field; interpret in dataset and case context,no,0.85-1.05 ug/mL
lab_results.csv,status,string,Source-record lifecycle or business status,no,OOS_LIMS
legal_holds.csv,hold_id,string,Identifier,no,LH-44
legal_holds.csv,scope,string,Synthetic source field; interpret in dataset and case context,no,NCB204-301 and NCB204-B24071
legal_holds.csv,status,string,Source-record lifecycle or business status,no,active
listedness_sources.csv,product,string,Product identifier or alias,no,NCB-204
listedness_sources.csv,source,string,Originating source,no,IB v12
listedness_sources.csv,risk,string,Synthetic source field; interpret in dataset and case context,no,anaphylaxis
listedness_sources.csv,listed,boolean_like,Synthetic source field; interpret in dataset and case context,no,yes
market_authorisations.csv,product,string,Product identifier or alias,no,NCB-204
market_authorisations.csv,market,string,Synthetic source field; interpret in dataset and case context,no,EU
market_authorisations.csv,status,string,Source-record lifecycle or business status,no,authorised
market_authorisations.csv,label_version,integer,Source version,no,6
material_genealogy.csv,batch_id,string,Identifier,no,NCB204-B24071
material_genealogy.csv,material_lot,string,Synthetic source field; interpret in dataset and case context,no,RESIN-R44
material_genealogy.csv,relation,string,Synthetic source field; interpret in dataset and case context,no,consumed
material_genealogy.csv,source,string,Originating source,no,MES
medicinal_products.csv,product_id,string,Identifier,no,NCB-204
medicinal_products.csv,source,string,Originating source,no,RIM
medicinal_products.csv,strength,string,Synthetic source field; interpret in dataset and case context,no,100 mg/10 mL
medicinal_products.csv,dose_form,string,Synthetic source field; interpret in dataset and case context,no,concentrate_for_infusion
medicinal_products.csv,substance,string,Synthetic source field; interpret in dataset and case context,no,SUB-204
microbiology_results.csv,sample_id,string,Identifier,no,EM-501
microbiology_results.csv,initial_id,string,Identifier,no,Micrococcus spp
microbiology_results.csv,corrected_id,string,Identifier,no,Bacillus cereus group
microbiology_results.csv,correction_time,date_or_datetime,Source event time,no,2026-07-25T09:40:00+05:30
model_artifacts.csv,model_id,string,Identifier,no,GXP-SUM-1
model_artifacts.csv,deployed_hash,string,Integrity hash,no,sha256:222BAD
model_artifacts.csv,registry_hash,string,Integrity hash,no,sha256:222bbb
model_artifacts.csv,signature,string,Synthetic source field; interpret in dataset and case context,no,missing
model_costs.csv,vendor,string,Synthetic source field; interpret in dataset and case context,no,AIVENDOR-X
model_costs.csv,model,string,Synthetic source field; interpret in dataset and case context,no,large-1
model_costs.csv,input_per_million,number,Synthetic source field; interpret in dataset and case context,no,8.50
model_costs.csv,previous,number,Synthetic source field; interpret in dataset and case context,no,5.00
model_costs.csv,output_per_million,number,Synthetic source field; interpret in dataset and case context,no,22.00
model_endpoints.csv,endpoint,string,Synthetic source field; interpret in dataset and case context,no,primary_large
model_endpoints.csv,region,string,Region context,no,EU-West
model_endpoints.csv,status,string,Source-record lifecycle or business status,no,down
model_endpoints.csv,model,string,Synthetic source field; interpret in dataset and case context,no,large-1
model_performance.csv,model_id,string,Identifier,no,TRN-OMICS-2
model_performance.csv,slice,string,Synthetic source field; interpret in dataset and case context,no,Group-A
model_performance.csv,metric,string,Synthetic source field; interpret in dataset and case context,no,AUROC
model_performance.csv,value,number,Source-reported value,no,0.86
model_registry.csv,model_id,string,Identifier,no,TRN-OMICS-2
model_registry.csv,intended_use,string,Synthetic source field; interpret in dataset and case context,no,portfolio ranking
model_registry.csv,status,string,Source-record lifecycle or business status,no,research_unqualified
model_registry.csv,hash,string,Integrity hash,no,sha256:111aaa
model_usage.csv,workflow,string,Synthetic source field; interpret in dataset and case context,no,batch_review
model_usage.csv,requests,integer,Synthetic source field; interpret in dataset and case context,no,1900
model_usage.csv,input_tokens,integer,Synthetic source field; interpret in dataset and case context,no,5800000
model_usage.csv,output_tokens,integer,Synthetic source field; interpret in dataset and case context,no,850000
model_usage.csv,successful_tasks,integer,Synthetic source field; interpret in dataset and case context,no,1110
network_zones.csv,zone,string,Synthetic source field; interpret in dataset and case context,no,OT_FILL_FINISH
network_zones.csv,trust,string,Synthetic source field; interpret in dataset and case context,no,restricted
network_zones.csv,connectivity,string,Synthetic source field; interpret in dataset and case context,no,isolated during incident
no_ai_baselines.csv,option,string,Synthetic source field; interpret in dataset and case context,no,master_data_repair
no_ai_baselines.csv,estimated_value_pct,integer,Source-reported value,no,38
no_ai_baselines.csv,duration_weeks,integer,Synthetic source field; interpret in dataset and case context,no,10
omics_cohorts.csv,cohort,string,Synthetic source field; interpret in dataset and case context,no,OM-TRAIN
omics_cohorts.csv,ancestry_group,string,Synthetic source field; interpret in dataset and case context,no,Group-A
omics_cohorts.csv,n,integer,Synthetic source field; interpret in dataset and case context,no,812
omics_cohorts.csv,positive_rate,number,Synthetic source field; interpret in dataset and case context,no,0.44
oos_investigations.csv,investigation_id,string,Identifier,no,OOS-88
oos_investigations.csv,result_id,string,Identifier,no,LR-88
oos_investigations.csv,lims_state,string,Synthetic source field; interpret in dataset and case context,no,OOS
oos_investigations.csv,stats_state,string,Synthetic source field; interpret in dataset and case context,no,OOT
oos_investigations.csv,notebook_state,string,Synthetic source field; interpret in dataset and case context,no,invalid_sample_prep
oos_investigations.csv,final_state,string,Synthetic source field; interpret in dataset and case context,no,open
organisations.csv,org_id,string,Identifier,no,NTG
organisations.csv,name,string,Synthetic source field; interpret in dataset and case context,no,NovaCura Therapeutics Group
organisations.csv,country,string,Country context,no,DE
organisations.csv,role,string,Role or accountable function,no,sponsor/MAH
packaging_events.csv,line,string,Synthetic source field; interpret in dataset and case context,no,PKG-3
packaging_events.csv,event,string,Synthetic source field; interpret in dataset and case context,no,restart
packaging_events.csv,time,date_or_datetime,Source event time,no,2026-07-28T13:22:00Z
packaging_events.csv,aggregation_rebuild,string,Synthetic source field; interpret in dataset and case context,no,partial
pat_models.csv,model_id,string,Identifier,no,PAT-NIR-7
pat_models.csv,version,number,Source version,no,2.4
pat_models.csv,approved_version,number,Source version,no,2.3
pat_models.csv,deployed_time,date_or_datetime,Source event time,no,2026-07-09
pat_models.csv,change_control,string,Synthetic source field; interpret in dataset and case context,no,missing
patient_support_cases.csv,case_id,string,Identifier,no,PSP-17
patient_support_cases.csv,product,string,Product identifier or alias,no,NCX-101
